total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,median_pnl,max_pnl,min_pnl,avg_return,avg_duration,avg_max_dd,max_dd,profit_factor,sharpe_ratio,tp,sl,tsl,strategy_id
1,0,1,0.0,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,9720,13.234576874275797,13.234576874275797,0.0,0,0.5,0.5,0.15,TP50_SL50_TSL15
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,3.0,0.15,0.1,TP300_SL15_TSL10
1,0,1,0.0,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,-14.573000000000008,1920,10.011419973415425,10.011419973415425,0.0,0,0.1,0.3,0.1,TP10_SL30_TSL10
1,1,0,100.0,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,6240,13.234576874275797,13.234576874275797,inf,0,0.1,1.0,0.7,TP10_SL100_TSL70
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,2.0,0.2,0.2,TP200_SL20_TSL20
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,0.7,0.5,0.5,TP70_SL50_TSL50
1,0,1,0.0,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,-7.766990291262147,10500,13.234576874275797,13.234576874275797,0.0,0,5.0,0.3,0.2,TP500_SL30_TSL20
1,0,1,0.0,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,-9.771500000000017,60,5.015526777081862,5.015526777081862,0.0,0,0.7,0.15,0.05,TP70_SL15_TSL5
1,1,0,100.0,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,4.633000000000024,6240,13.234576874275797,13.234576874275797,inf,0,0.1,0.15,0.3,TP10_SL15_TSL30
1,0,1,0.0,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,-5.240311632387986,9720,13.234576874275797,13.234576874275797,0.0,0,3.0,0.3,0.15,TP300_SL30_TSL15
