ts,o,h,l,c,v
1759444620,0.000602325826950948,0.000620717194447391,0.00058677260181598,0.000620717194447391,1037.222200117972
1759444560,0.00062273972853862,0.000628162643665661,0.000581258953118158,0.000602325826950948,13688.043997052582
1759444500,0.000601656794864645,0.000623759183769446,0.000582097973068037,0.00062273972853862,5649.110596276764
1759444440,0.000587233976399443,0.000610122060757889,0.000557279916087537,0.000601656794864645,8003.8955834082035
1759444380,0.000609372135787491,0.000609372135787491,0.000565748089373308,0.000587233976399443,4522.785476160239
1759444320,0.000590922884310491,0.000614407434569384,0.000549352047135715,0.000609372135787491,12247.857663515655
1759444260,0.000541811075947139,0.000604217656076184,0.000541811075947139,0.000590922884310491,4062.885035695991
1759444200,0.000494847693712321,0.000547080999064716,0.000493899027916053,0.000541811075947139,7966.351127857217
1759444140,0.00052188645531717,0.000579645116700365,0.000465318005741736,0.000494847693712321,20725.331128546364
1759444080,0.000434554648883841,0.000602336695498679,0.000430506575649646,0.00052188645531717,32531.159054546828
1759444020,0.000423489797704982,0.000462816367879799,0.000421265786569798,0.000434554648883841,6362.890487090996
1759443960,0.000389724900541188,0.000423489797704982,0.000389724900541188,0.000423489797704982,3362.214104271889
1759443900,0.000365407287763361,0.000395355289011821,0.000365407287763361,0.000389724900541188,3166.1779512801327
1759443840,0.000371329596837895,0.000381612374868088,0.000356903096343004,0.000365407287763361,3710.5120655360506
1759443780,0.00036017753715733,0.00038180674937621,0.000315942274868826,0.000371329596837895,10435.38979291427
1759443720,0.000408817039751069,0.000409016709719466,0.000333353880315556,0.00036017753715733,10290.499548440954
1759443660,0.000453385452693329,0.000453385452693329,0.00038860072216544,0.000408817039751069,7904.081541428788
1759443600,0.000396016605951765,0.000453385452693329,0.000382457365669128,0.000453385452693329,15470.91239458166
1759443540,0.00039306812072581,0.00041666995045454,0.00039306812072581,0.000396016605951765,3213.836076136001
1759443480,0.000430970810989534,0.000440115350638581,0.000371866638315964,0.00039306812072581,17310.090847429623
1759443420,0.00037680728818513,0.000431749949720071,0.000375956889512738,0.000430970810989534,6481.448072528991
1759443360,0.000410702649199263,0.000422286809607745,0.000373882265161854,0.00037680728818513,6878.193838989092
1759443300,0.000343895959961999,0.000428723551152901,0.000343895959961999,0.000410702649199263,13758.90144889395
1759443240,0.000347574620848788,0.000348067927457873,0.000343895959961999,0.000343895959961999,622.9558534747958
1759443180,0.000326599872523681,0.000357057671549433,0.000326599872523681,0.000347574620848788,4465.6337780657195
1759443120,0.000330958564418187,0.000347326632948643,0.000314236283507216,0.000326599872523681,8769.063889927098
