coin,token,unix,entry_mc,exit_mc,trade_ath,market_ath,trade_atl,max_drawdown,pnl,return_pct,duration,exit_reason
OracleBNB,0xF6661fDb33c5fbf6D2C514598cdee0Ea9ff04444,1760824140,2420000.0,2589881.439343459,1.1864361212994632,1.1864361212994632,0.9110754033601917,8.89245966398083,4.9496952458687815,4.9496952458687815,10560,neutral
TO THE MOON,8hQc8Z1HuQ9vGc2rdoVHmjNP2icR8uwa4DYgjp3Upump,1760824860,81980.0,,,,,,0.0,,,no_entry
黑天鹅,0xED52c3a55753EfDd2C8cc9F913cF67A1b7dB4444,1760910000,88290.0,,,,,,0.0,,,no_entry
